date,equity,n
2025-01-02,1001556.5869929999,10
2025-01-03,998826.5869929999,10
2025-01-06,1007516.5869929999,10
2025-01-07,1012056.5869929999,10
2025-01-08,1015676.5869929999,10
2025-01-09,1021746.5869929999,10
2025-01-10,1027196.5869929999,10
2025-01-13,1014446.5869929999,10
2025-01-14,1031166.5869929999,10
2025-01-15,1048956.5869929998,10
2025-01-16,1047866.5869929999,10
2025-01-17,1062196.5869929998,10
2025-01-20,1051026.5869929998,10
2025-01-21,1061766.5869929998,10
2025-01-22,1057186.5869929998,10
2025-01-23,1037226.5869929999,10
2025-01-24,1049736.5869929998,10
2025-01-31,1055916.5869929998,10
2025-02-03,1025242.7067603997,10
2025-02-04,1030020.7067603997,10
2025-02-05,1039147.7067603997,10
2025-02-06,1052437.7067603997,10
2025-02-07,1051059.7067603997,10
2025-02-10,1047436.7067603997,10
2025-02-11,1041939.7067603997,10
2025-02-12,1032221.7067603997,10
2025-02-13,1046231.7067603997,10
2025-02-14,1050999.7067603997,10
2025-02-17,1060929.7067603997,10
2025-02-18,1060129.7067603997,10
2025-02-19,1066633.7067603997,10
2025-02-20,1074909.7067603997,10
2025-02-21,1101101.7067603997,10
2025-02-24,1116087.7067603997,10
2025-02-25,1114811.7067603997,10
2025-02-26,1122679.7067603997,10
2025-02-27,1117401.7067603997,10
2025-02-28,1086283.7067603997,10
2025-03-04,1080278.2846513998,10
2025-03-05,1102248.2846513998,10
2025-03-06,1105378.2846513998,10
2025-03-07,1093488.2846513998,10
2025-03-10,1101488.2846513998,10
2025-03-11,1092468.2846513998,10
2025-03-12,1088108.2846513998,10
2025-03-13,1085798.2846513998,10
2025-03-14,1099678.2846513998,10
2025-03-17,1111458.2846513998,10
2025-03-18,1105088.2846513998,10
2025-03-19,1111448.2846513998,10
2025-03-20,1108388.2846513998,10
2025-03-21,1109098.2846513998,10
2025-03-24,1112668.2846513998,10
2025-03-25,1106438.2846513998,10
2025-03-26,1104358.2846513998,10
2025-03-27,1089768.2846513998,10
2025-03-28,1085008.2846513998,10
2025-03-31,1067138.2846513998,10
2025-04-01,1091751.7248816998,10
2025-04-02,1085637.7248816998,10
2025-04-03,1075073.7248816998,10
2025-04-04,1073734.7248816998,10
2025-04-07,1014289.7248816997,10
2025-04-08,1017732.7248816997,10
2025-04-09,1001265.7248816997,10
2025-04-10,1047117.7248816997,10
2025-04-11,1051159.7248816998,10
2025-04-14,1053450.7248816998,10
2025-04-15,1075852.7248816998,10
2025-04-16,1063334.7248816998,10
2025-04-17,1072248.7248816998,10
2025-04-18,1071414.7248816998,10
2025-04-21,1076756.7248816998,10
2025-04-22,1076171.7248816998,10
2025-04-23,1087320.7248816998,10
2025-04-24,1087899.7248816998,10
2025-04-25,1094382.7248816998,10
2025-04-28,1092491.7248816998,10
2025-04-29,1101618.7248816998,10
2025-04-30,1097408.7248816998,10
2025-05-02,1092900.4077466996,10
2025-05-07,1095351.4077466996,10
2025-05-08,1113297.4077466996,10
2025-05-09,1119647.4077466996,10
2025-05-12,1131894.4077466996,10
2025-05-13,1146887.4077466996,10
2025-05-14,1147098.4077466996,10
2025-05-15,1139971.4077466996,10
2025-05-16,1140021.4077466996,10
2025-05-19,1126680.4077466996,10
2025-05-20,1135513.4077466996,10
2025-05-21,1142060.4077466996,10
2025-05-22,1133302.4077466996,10
2025-05-23,1130096.4077466996,10
2025-05-26,1151363.4077466996,10
2025-05-27,1148430.4077466996,10
2025-05-28,1148897.4077466996,10
2025-05-29,1205765.4077466996,10
2025-05-30,1200071.4077466996,10
2025-06-02,1191479.0344158995,10
2025-06-04,1209889.0344158995,10
2025-06-05,1224109.0344158995,10
2025-06-09,1241279.0344158995,10
2025-06-10,1245819.0344158995,10
2025-06-11,1255129.0344158995,10
2025-06-12,1256389.0344158995,10
2025-06-13,1229249.0344158995,10
2025-06-16,1274099.0344158995,10
2025-06-17,1253489.0344158995,10
2025-06-18,1250179.0344158995,10
2025-06-19,1250909.0344158995,10
2025-06-20,1266569.0344158995,10
2025-06-23,1257469.0344158995,10
2025-06-24,1293129.0344158995,10
2025-06-25,1300019.0344158995,10
2025-06-26,1288339.0344158995,10
2025-06-27,1279779.0344158995,10
2025-06-30,1290689.0344158995,10
2025-07-01,1306922.9852828996,10
2025-07-02,1304667.9852828996,10
2025-07-03,1323357.9852828996,10
2025-07-04,1306862.9852828996,10
2025-07-07,1292457.9852828996,10
2025-07-08,1310917.9852828996,10
2025-07-09,1336327.9852828996,10
2025-07-10,1349482.9852828996,10
2025-07-11,1348142.9852828996,10
2025-07-14,1356907.9852828996,10
2025-07-15,1362837.9852828996,10
2025-07-16,1354622.9852828996,10
2025-07-17,1348212.9852828996,10
2025-07-18,1343502.9852828996,10
2025-07-21,1344597.9852828996,10
2025-07-22,1330752.9852828996,10
2025-07-23,1342082.9852828996,10
2025-07-24,1343122.9852828996,10
2025-07-25,1333197.9852828996,10
2025-07-28,1330202.9852828996,10
2025-07-29,1337952.9852828996,10
2025-07-30,1350977.9852828996,10
2025-07-31,1342457.9852828996,10
2025-08-01,1307195.1068098994,10
2025-08-04,1320070.1068098994,10
2025-08-05,1329765.1068098994,10
2025-08-06,1341925.1068098994,10
2025-08-07,1332680.1068098994,10
2025-08-08,1334100.1068098994,10
2025-08-11,1327785.1068098994,10
2025-08-12,1326195.1068098994,10
2025-08-13,1330800.1068098994,10
2025-08-14,1317130.1068098994,10
2025-08-18,1316715.1068098994,10
2025-08-19,1317445.1068098994,10
2025-08-20,1312365.1068098994,10
2025-08-21,1311145.1068098994,10
2025-08-22,1308245.1068098994,10
2025-08-25,1312175.1068098994,10
2025-08-26,1309820.1068098994,10
2025-08-27,1312395.1068098994,10
2025-08-28,1315940.1068098994,10
2025-08-29,1309825.1068098994,10
2025-09-01,1283757.0419398993,10
2025-09-02,1280517.0419398993,10
2025-09-03,1297877.0419398993,10
